episodes,alpha,epsilon,success,AveStep,MinStep
50000,0.66,0.065737,0.50702,13.567157114117787,13
50000,0.66,0.065738,0.50702,13.567157114117787,13
50000,0.66,0.065739,0.50702,13.567157114117787,13
50000,0.66,0.06574,0.50702,13.567157114117787,13
50000,0.66,0.06574100000000001,0.50702,13.567157114117787,13
50000,0.66,0.06574200000000001,0.507,13.567100591715976,13
50000,0.66,0.06574300000000001,0.507,13.567100591715976,13
50000,0.66,0.06574400000000001,0.507,13.567100591715976,13
50000,0.66,0.06574500000000001,0.50702,13.567157114117787,13
50000,0.66,0.06574600000000001,0.50702,13.567157114117787,13
50000,0.66,0.06574700000000001,0.50702,13.567157114117787,13
50000,0.66,0.06574800000000001,0.50702,13.567236006469173,13
50000,0.66,0.06574900000000002,0.507,13.567100591715976,13
50000,0.66,0.06575000000000002,0.507,13.567100591715976,13
50000,0.66,0.06575100000000002,0.50706,13.56734903167278,13
50000,0.66,0.06575200000000002,0.50706,13.56734903167278,13
50000,0.66,0.06575300000000002,0.50706,13.56734903167278,13
50000,0.66,0.06575400000000002,0.50704,13.567529189018618,13
50000,0.66,0.06575500000000002,0.50704,13.567529189018618,13
50000,0.66,0.06575600000000002,0.50704,13.567686967497634,13
50000,0.66,0.06575700000000002,0.50704,13.567686967497634,13
50000,0.66,0.06575800000000002,0.50704,13.567686967497634,13
50000,0.66,0.06575900000000003,0.50704,13.567686967497634,13
50000,0.66,0.06576000000000003,0.50706,13.567585690056404,13
50000,0.66,0.06576100000000003,0.50706,13.567585690056404,13
50000,0.66,0.06576200000000003,0.50706,13.567822348440027,13
50000,0.66,0.06576300000000003,0.50706,13.567822348440027,13
50000,0.66,0.06576400000000003,0.50706,13.567822348440027,13
50000,0.66,0.06576500000000003,0.50704,13.567765856737141,13
50000,0.66,0.06576600000000003,0.50702,13.567788252928878,13
50000,0.66,0.06576700000000003,0.50702,13.567788252928878,13
50000,0.66,0.06576800000000003,0.507,13.567810650887575,13
50000,0.66,0.06576900000000004,0.50698,13.567911949189318,13
50000,0.66,0.06577000000000004,0.50696,13.567855452106675,13
50000,0.66,0.06577100000000004,0.5069,13.56792266719274,13
50000,0.66,0.06577200000000004,0.5069,13.568001578220557,13
50000,0.66,0.06577300000000004,0.5069,13.568001578220557,13
50000,0.66,0.06577400000000004,0.50688,13.56802398989899,13
50000,0.66,0.06577500000000004,0.50688,13.56802398989899,13
50000,0.66,0.06577600000000004,0.50688,13.56802398989899,13
50000,0.66,0.06577700000000004,0.50688,13.567945075757576,13
50000,0.66,0.06577800000000004,0.50688,13.567945075757576,13
50000,0.66,0.06577900000000005,0.50688,13.567945075757576,13
50000,0.66,0.06578000000000005,0.50688,13.567945075757576,13
50000,0.66,0.06578100000000005,0.5069,13.56792266719274,13
50000,0.66,0.06578200000000005,0.5069,13.56792266719274,13
50000,0.66,0.06578300000000005,0.5069,13.56792266719274,13
50000,0.66,0.06578400000000005,0.5069,13.56792266719274,13
50000,0.66,0.06578500000000005,0.50684,13.567989898192723,13
50000,0.66,0.06578600000000005,0.50684,13.567989898192723,13
50000,0.66,0.06578700000000005,0.50684,13.568068818562072,13
50000,0.66,0.06578800000000005,0.50684,13.568068818562072,13
50000,0.66,0.06578900000000006,0.50684,13.568068818562072,13
50000,0.66,0.06579000000000006,0.50682,13.568012312063454,13
50000,0.66,0.06579100000000006,0.5068,13.568034727703235,13
50000,0.66,0.06579200000000006,0.50678,13.568057145112277,13
50000,0.66,0.06579300000000006,0.50678,13.568057145112277,13
50000,0.66,0.06579400000000006,0.50678,13.568057145112277,13
50000,0.66,0.06579500000000006,0.50678,13.568057145112277,13
50000,0.66,0.06571466999999964,0.50724,13.567068843151171,13
50000,2.0E-4,0.06571466,0.50724,13.567068843151171,13
50000,3.0000000000000003E-4,0.06571466,0.50724,13.567068843151171,13
50000,4.0E-4,0.06571466,0.50724,13.567068843151171,13
50000,5.0E-4,0.06571466,0.50724,13.567068843151171,13
50000,6.000000000000001E-4,0.06571466,0.50724,13.567068843151171,13
50000,7.000000000000001E-4,0.06571466,0.50724,13.567068843151171,13
50000,8.000000000000001E-4,0.06571466,0.50724,13.567068843151171,13
50000,9.000000000000002E-4,0.06571466,0.50724,13.567068843151171,13
50000,0.0010000000000000002,0.06571466,0.50724,13.567068843151171,13
50000,0.0011000000000000003,0.06571466,0.50724,13.567068843151171,13
50000,0.0012000000000000003,0.06571466,0.50724,13.567068843151171,13
50000,0.0013000000000000004,0.06571466,0.50724,13.567068843151171,13
50000,0.0014000000000000004,0.06571466,0.50724,13.567068843151171,13
50000,0.0015000000000000005,0.06571466,0.50724,13.567068843151171,13
50000,0.0016000000000000005,0.06571466,0.50724,13.567068843151171,13
50000,0.0017000000000000006,0.06571466,0.50724,13.567068843151171,13
50000,0.0018000000000000006,0.06571466,0.50724,13.567068843151171,13
50000,0.0019000000000000006,0.06571466,0.50724,13.567068843151171,13
50000,0.0020000000000000005,0.06571466,0.50724,13.567068843151171,13
50000,0.0021000000000000003,0.06571466,0.50724,13.567068843151171,13
50000,0.0022,0.06571466,0.50724,13.567068843151171,13
50000,0.0023,0.06571466,0.50724,13.567068843151171,13
50000,0.0024,0.06571466,0.50724,13.567068843151171,13
50000,0.0024999999999999996,0.06571466,0.50724,13.567068843151171,13
50000,0.0025999999999999994,0.06571466,0.50724,13.567068843151171,13
50000,0.0026999999999999993,0.06571466,0.50724,13.567068843151171,13
50000,0.002799999999999999,0.06571466,0.50724,13.567068843151171,13
50000,0.002899999999999999,0.06571466,0.50724,13.567068843151171,13
