episodes,alpha,epsilon,success,AveStep,MinStep
50000,4.0E-4,0.1606,0.0,0.0,90
50000,3.0000000000000003E-4,0.0114,0.0,0.0,90
50000,1.0E-4,0.10690000000000001,0.2654,13.910926902788244,13
50000,8.0E-4,0.16269999999999998,0.0,0.0,90
50000,3.0000000000000003E-4,0.1865,0.09374,14.59377000213356,13
50000,3.0000000000000003E-4,0.008,0.0,0.0,90
50000,1.0E-4,0.045200000000000004,0.0,0.0,90
50000,4.0E-4,0.188,0.09078,14.599911874862304,13
50000,1.0E-4,0.173,0.1031,14.495635305528612,13
50000,3.0000000000000003E-4,0.1508,0.0,0.0,90
50000,5.0E-4,0.1893,0.08826,14.615680942669385,13
50000,2.0E-4,0.1401,0.2642,14.211657834973504,13
50000,4.0E-4,0.0133,0.0,0.0,90
50000,9.000000000000001E-4,0.1897,0.08736,14.609432234432234,13
50000,4.0E-4,0.0947,0.0,0.0,90
50000,3.0000000000000003E-4,0.0717,0.0,0.0,90
50000,5.0E-4,0.025500000000000002,0.0,0.0,90
50000,2.0E-4,0.08610000000000001,0.27594,13.742190331231427,13
50000,8.0E-4,0.0413,0.0,0.0,90
50000,7.000000000000001E-4,0.1973,0.1893,14.669519281563655,13
50000,8.0E-4,0.096,0.46026,13.822491635162734,13
50000,6.000000000000001E-4,0.1326,0.28304,14.149095534200113,13
50000,4.0E-4,0.1879,0.09096,14.59806508355321,13
50000,9.000000000000001E-4,0.09530000000000001,0.0,0.0,90
50000,3.0000000000000003E-4,0.10160000000000001,0.0,0.0,90
50000,1.0E-4,0.1232,0.0,0.0,90
50000,1.0E-4,0.05020000000000001,1.8E-4,47.666666666666664,13
50000,5.0E-4,0.1624,0.0,0.0,90
50000,3.0000000000000003E-4,0.1686,0.11534,14.465926825039015,13
50000,2.0E-4,0.0083,0.0,0.0,90
50000,8.0E-4,0.049300000000000004,2.0E-4,44.4,13
50000,3.0000000000000003E-4,0.0097,0.0,0.0,90
50000,5.0E-4,0.1315,0.28632,14.139564124057,13
50000,3.0000000000000003E-4,0.08420000000000001,0.2835,13.73326278659612,13
50000,5.0E-4,0.1527,0.0,0.0,90
50000,7.000000000000001E-4,0.0671,0.0,0.0,90
50000,5.0E-4,0.1325,0.28324,14.147295579720378,13
50000,4.0E-4,0.05450000000000001,1.4E-4,58.142857142857146,13
50000,3.0000000000000003E-4,0.1009,0.0,0.0,90
50000,8.0E-4,0.07260000000000001,0.0,0.0,90
50000,7.000000000000001E-4,0.061900000000000004,0.0,0.0,90
50000,9.000000000000001E-4,0.046400000000000004,0.0,0.0,90
50000,7.000000000000001E-4,0.1504,0.0,0.0,90
50000,2.0E-4,0.09530000000000001,0.0,0.0,90
50000,8.0E-4,0.05260000000000001,1.0E-4,41.0,13
50000,7.000000000000001E-4,0.1832,0.09726,14.555829734731647,13
50000,7.000000000000001E-4,0.0088,0.0,0.0,90
50000,7.000000000000001E-4,0.18889999999999998,0.08896,14.611510791366907,13
50000,2.0E-4,0.08510000000000001,0.27956,13.74188009729575,13
50000,6.000000000000001E-4,0.159,0.0,0.0,90
50000,7.000000000000001E-4,0.07840000000000001,0.0,0.0,90
50000,9.000000000000001E-4,0.1429,0.26424,14.235392067817136,13
50000,9.000000000000001E-4,0.0386,0.0,0.0,90
50000,1.0E-4,0.0758,0.0,0.0,90
50000,2.0E-4,0.011,0.0,0.0,90
50000,2.0E-4,0.1867,0.09318,14.593904271302854,13
